"first_name","last_name","designation"
"Sunny","inland","Autumn"
"Sunny","mountain","Summer"
"Cloudy","coastal","Summer"
"Sunny","mountain","Autumn"
"Rainy","coastal","Winter"
"Snowy","inland","Winter"
"Rainy","inland","Autumn"
"Cloudy","inland","Spring"
"Snowy","mountain","Winter"
"Cloudy","coastal","Summer"
"Rainy","inland","Winter"
"Rainy","mountain","Summer"
"Rainy","coastal","Winter"
"Sunny","coastal","Spring"
"Sunny","coastal","Spring"
"Sunny","mountain","Autumn"
"Sunny","coastal","Winter"
"Cloudy","coastal","Autumn"
"Sunny","mountain","Autumn"
"Snowy","mountain","Winter"
"Sunny","coastal","Winter"
"Cloudy","inland","Summer"
"Sunny","inland","Summer"
"Snowy","mountain","Winter"
"Snowy","inland","Winter"
"Cloudy","coastal","Summer"
"Cloudy","inland","Autumn"
"Sunny","mountain","Autumn"
"Cloudy","inland","Winter"
"Cloudy","coastal","Winter"
"Cloudy","mountain","Summer"
"Rainy","mountain","Spring"
"Snowy","inland","Summer"
"Cloudy","inland","Autumn"
"Snowy","inland","Winter"
"Sunny","inland","Spring"
"Snowy","mountain","Winter"
"Rainy","coastal","Winter"
"Snowy","inland","Winter"
"Rainy","inland","Summer"
"Cloudy","coastal","Autumn"
"Cloudy","mountain","Autumn"
"Cloudy","coastal","Summer"
"Rainy","coastal","Winter"
"Snowy","inland","Winter"
"Snowy","mountain","Winter"
"Rainy","inland","Winter"
"Sunny","inland","Summer"
"Cloudy","inland","Autumn"
"Sunny","mountain","Summer"
"Snowy","mountain","Winter"
"Cloudy","mountain","Summer"
"Snowy","inland","Winter"
"Cloudy","coastal","Autumn"
"Rainy","mountain","Autumn"
"Rainy","mountain","Autumn"
"Sunny","mountain","Autumn"
"Snowy","inland","Winter"
"Sunny","inland","Autumn"
"Cloudy","mountain","Winter"
"Snowy","inland","Winter"
"Rainy","coastal","Autumn"
"Cloudy","coastal","Spring"
"Sunny","inland","Summer"
"Snowy","mountain","Winter"
"Cloudy","mountain","Spring"
"Rainy","inland","Winter"
"Cloudy","inland","Summer"
"Sunny","coastal","Autumn"
"Snowy","inland","Winter"
"Sunny","coastal","Winter"
"Cloudy","inland","Spring"
"Sunny","mountain","Spring"
"Sunny","coastal","Winter"
"Cloudy","coastal","Autumn"
"Rainy","coastal","Autumn"
"Rainy","coastal","Winter"
"Rainy","mountain","Summer"
"Rainy","coastal","Winter"
"Cloudy","mountain","Spring"
"Sunny","inland","Summer"
"Cloudy","inland","Autumn"
"Sunny","coastal","Autumn"
"Sunny","coastal","Winter"
"Snowy","mountain","Winter"
"Sunny","inland","Spring"
"Rainy","inland","Summer"
"Rainy","coastal","Winter"
"Cloudy","mountain","Spring"
"Sunny","inland","Spring"
"Snowy","inland","Winter"
"Rainy","inland","Autumn"
"Snowy","mountain","Winter"
"Sunny","mountain","Spring"
"Sunny","coastal","Summer"
"Cloudy","coastal","Winter"
"Sunny","mountain","Autumn"
"Cloudy","mountain","Winter"
"Sunny","inland","Autumn"
"Cloudy","inland","Spring"
"Cloudy","coastal","Summer"
"Rainy","inland","Spring"
"Snowy","inland","Winter"
"Snowy","coastal","Summer"
"Snowy","coastal","Winter"
"Cloudy","coastal","Summer"
"Snowy","mountain","Winter"
"Snowy","mountain","Winter"
"Sunny","coastal","Winter"
"Rainy","coastal","Winter"
"Rainy","mountain","Winter"
"Cloudy","coastal","Spring"
"Cloudy","inland","Winter"
"Sunny","coastal","Summer"
"Cloudy","coastal","Winter"
"Rainy","inland","Summer"
"Cloudy","coastal","Spring"
"Sunny","coastal","Winter"
"Sunny","coastal","Winter"
"Cloudy","mountain","Spring"
"Sunny","inland","Spring"
"Snowy","inland","Winter"
"Snowy","mountain","Summer"
"Rainy","coastal","Winter"
"Cloudy","coastal","Spring"
"Sunny","coastal","Spring"
"Snowy","mountain","Winter"
"Sunny","inland","Spring"
"Rainy","inland","Winter"
"Sunny","mountain","Summer"
"Rainy","coastal","Winter"
"Cloudy","inland","Spring"
"Cloudy","inland","Autumn"
"Sunny","inland","Autumn"
"Sunny","inland","Summer"
"Snowy","inland","Winter"
"Rainy","inland","Winter"
"Snowy","inland","Winter"
"Cloudy","coastal","Spring"
"Cloudy","coastal","Autumn"
"Sunny","coastal","Spring"
"Cloudy","inland","Autumn"
"Sunny","inland","Winter"
"Sunny","coastal","Autumn"
"Sunny","mountain","Winter"
"Snowy","inland","Winter"
"Rainy","mountain","Summer"
"Snowy","mountain","Winter"
"Cloudy","inland","Winter"
"Cloudy","mountain","Autumn"
"Cloudy","mountain","Winter"
"Rainy","coastal","Spring"
"Rainy","mountain","Summer"
"Snowy","mountain","Winter"
"Sunny","coastal","Spring"
"Rainy","inland","Spring"
"Snowy","inland","Winter"
"Snowy","mountain","Winter"
"Sunny","mountain","Summer"
"Cloudy","coastal","Spring"
"Cloudy","inland","Spring"
"Cloudy","inland","Winter"
"Cloudy","inland","Autumn"
"Rainy","mountain","Winter"
"Cloudy","coastal","Summer"
"Rainy","coastal","Summer"
"Snowy","inland","Winter"
"Cloudy","coastal","Autumn"
"Rainy","inland","Autumn"
"Sunny","mountain","Spring"
"Cloudy","coastal","Autumn"
"Cloudy","coastal","Summer"
"Sunny","mountain","Autumn"
"Sunny","mountain","Summer"
"Sunny","coastal","Spring"
"Snowy","inland","Winter"
"Sunny","coastal","Spring"
"Cloudy","inland","Winter"
"Sunny","coastal","Autumn"
"Snowy","mountain","Winter"
"Snowy","mountain","Winter"
"Snowy","inland","Winter"
"Rainy","inland","Summer"
"Snowy","mountain","Winter"
"Cloudy","mountain","Autumn"
"Sunny","inland","Winter"
"Rainy","coastal","Spring"
"Cloudy","inland","Spring"
"Cloudy","mountain","Summer"
"Sunny","mountain","Winter"
"Rainy","mountain","Winter"
"Snowy","inland","Winter"
"Cloudy","coastal","Winter"
"Snowy","mountain","Winter"
"Cloudy","mountain","Autumn"
"Cloudy","inland","Summer"
"Rainy","inland","Winter"
"Rainy","mountain","Spring"
"Cloudy","coastal","Summer"
"Snowy","mountain","Winter"
"Rainy","coastal","Winter"
"Rainy","coastal","Summer"
"Sunny","inland","Winter"
"Rainy","inland","Summer"
"Rainy","inland","Summer"
"Sunny","mountain","Winter"
"Snowy","mountain","Winter"
"Sunny","mountain","Winter"
"Cloudy","inland","Winter"
"Cloudy","inland","Summer"
"Snowy","inland","Winter"
"Cloudy","inland","Summer"
"Cloudy","coastal","Autumn"
"Sunny","inland","Spring"
"Cloudy","inland","Winter"
"Sunny","mountain","Summer"
"Sunny","inland","Winter"
"Snowy","inland","Winter"
"Cloudy","inland","Winter"
"Snowy","mountain","Winter"
"Cloudy","mountain","Autumn"
"Sunny","mountain","Winter"
"Cloudy","inland","Spring"
"Rainy","inland","Winter"
"Sunny","inland","Winter"
"Rainy","mountain","Spring"
"Snowy","inland","Winter"
"Snowy","inland","Winter"
"Sunny","inland","Spring"
"Sunny","coastal","Winter"
"Sunny","coastal","Autumn"
"Cloudy","mountain","Autumn"
"Rainy","coastal","Winter"
"Sunny","coastal","Winter"
"Snowy","inland","Winter"
"Sunny","inland","Spring"
"Snowy","inland","Winter"
"Cloudy","mountain","Spring"
"Sunny","coastal","Winter"
"Rainy","coastal","Autumn"
"Rainy","mountain","Winter"
"Snowy","inland","Winter"
"Sunny","inland","Autumn"
"Snowy","mountain","Winter"
"Snowy","inland","Winter"
"Sunny","coastal","Autumn"
"Snowy","mountain","Winter"
"Cloudy","inland","Spring"
"Snowy","coastal","Winter"
"Snowy","inland","Winter"
"Sunny","inland","Autumn"
"Sunny","coastal","Spring"
"Snowy","mountain","Winter"
"Sunny","coastal","Autumn"
"Rainy","inland","Summer"
"Rainy","inland","Autumn"
"Snowy","inland","Winter"
"Sunny","inland","Summer"
"Rainy","inland","Winter"
"Rainy","coastal","Spring"
"Snowy","coastal","Spring"
"Sunny","mountain","Spring"
"Sunny","mountain","Winter"
"Cloudy","coastal","Autumn"
"Rainy","inland","Winter"
"Sunny","coastal","Spring"
"Snowy","mountain","Winter"
"Rainy","inland","Winter"
"Cloudy","inland","Spring"
"Cloudy","inland","Summer"
"Sunny","inland","Summer"
"Rainy","inland","Spring"
"Cloudy","mountain","Summer"
"Cloudy","mountain","Winter"
"Sunny","mountain","Autumn"
"Sunny","coastal","Winter"
"Snowy","inland","Winter"
"Snowy","inland","Winter"
"Rainy","mountain","Autumn"
"Snowy","mountain","Winter"
"Sunny","coastal","Winter"
"Snowy","inland","Winter"
"Cloudy","mountain","Winter"
"Sunny","mountain","Spring"
"Rainy","inland","Spring"
"Rainy","mountain","Spring"
"Cloudy","coastal","Winter"
"Rainy","coastal","Summer"
"Rainy","inland","Autumn"
"Snowy","mountain","Winter"
"Cloudy","inland","Winter"
"Snowy","mountain","Winter"
"Snowy","inland","Winter"
"Sunny","inland","Winter"
"Sunny","inland","Spring"
"Cloudy","inland","Summer"
"Rainy","inland","Spring"
"Rainy","inland","Spring"
"Snowy","inland","Winter"
"Sunny","inland","Summer"
"Sunny","mountain","Spring"
"Cloudy","mountain","Summer"
"Cloudy","coastal","Summer"
"Cloudy","inland","Summer"
"Cloudy","coastal","Spring"
"Snowy","mountain","Winter"
"Sunny","inland","Winter"
"Cloudy","inland","Spring"
"Cloudy","coastal","Winter"
"Cloudy","inland","Summer"
"Snowy","inland","Winter"
"Snowy","inland","Winter"
"Rainy","mountain","Winter"
"Cloudy","coastal","Summer"
"Rainy","inland","Winter"
"Snowy","mountain","Winter"
"Sunny","inland","Autumn"
"Snowy","inland","Winter"
"Sunny","coastal","Autumn"
"Cloudy","inland","Spring"
"Cloudy","mountain","Summer"
"Snowy","inland","Spring"
"Cloudy","coastal","Winter"
"Cloudy","mountain","Autumn"
"Rainy","inland","Summer"
"Snowy","mountain","Winter"
"Cloudy","mountain","Summer"
"Sunny","coastal","Spring"
"Sunny","inland","Autumn"
"Rainy","inland","Autumn"
"Snowy","inland","Winter"
"Rainy","mountain","Winter"
"Snowy","inland","Winter"
"Sunny","coastal","Autumn"
"Rainy","coastal","Summer"
"Cloudy","inland","Autumn"
"Cloudy","mountain","Summer"
"Sunny","inland","Summer"
"Sunny","inland","Spring"
"Rainy","inland","Summer"
"Sunny","mountain","Summer"
"Sunny","coastal","Spring"
"Sunny","mountain","Spring"
"Cloudy","mountain","Autumn"
"Rainy","inland","Spring"
"Snowy","inland","Winter"
"Snowy","coastal","Spring"
"Cloudy","inland","Autumn"
"Sunny","mountain","Spring"
"Snowy","mountain","Winter"
"Cloudy","mountain","Spring"
"Snowy","coastal","Autumn"
"Cloudy","inland","Spring"
"Snowy","inland","Winter"
"Sunny","coastal","Spring"
"Sunny","mountain","Summer"
"Snowy","mountain","Winter"
"Rainy","mountain","Winter"
"Snowy","inland","Winter"
"Cloudy","coastal","Autumn"
"Sunny","mountain","Winter"
"Snowy","mountain","Winter"
"Rainy","inland","Winter"
"Snowy","mountain","Winter"
"Snowy","mountain","Winter"
"Rainy","mountain","Summer"
"Rainy","mountain","Autumn"
"Sunny","mountain","Autumn"
"Rainy","mountain","Winter"
"Snowy","mountain","Winter"
"Rainy","inland","Summer"
"Sunny","mountain","Summer"
"Cloudy","coastal","Winter"
"Sunny","inland","Summer"
"Sunny","coastal","Summer"
"Rainy","inland","Summer"
"Snowy","mountain","Winter"
"Snowy","inland","Winter"
"Cloudy","coastal","Spring"
"Rainy","mountain","Autumn"
"Sunny","inland","Autumn"
"Rainy","coastal","Autumn"
"Rainy","coastal","Winter"
"Sunny","coastal","Spring"
"Sunny","mountain","Spring"
"Snowy","coastal","Summer"
"Snowy","mountain","Summer"
"Sunny","inland","Winter"
"Rainy","coastal","Spring"
"Snowy","coastal","Spring"
"Rainy","inland","Summer"
"Sunny","inland","Autumn"
"Cloudy","coastal","Spring"
"Rainy","mountain","Winter"
"Rainy","mountain","Autumn"
"Snowy","mountain","Winter"
"Snowy","mountain","Winter"
"Snowy","inland","Winter"
"Snowy","inland","Winter"
"Cloudy","inland","Summer"
"Cloudy","coastal","Winter"
"Sunny","mountain","Autumn"
"Rainy","coastal","Summer"
"Snowy","mountain","Winter"
"Sunny","coastal","Autumn"
"Rainy","coastal","Winter"
"Cloudy","inland","Winter"
"Snowy","mountain","Winter"
"Sunny","coastal","Winter"
"Cloudy","mountain","Autumn"
"Sunny","coastal","Spring"
"Sunny","coastal","Spring"
"Sunny","coastal","Summer"
"Cloudy","inland","Summer"
"Snowy","inland","Winter"
"Cloudy","inland","Summer"
"Sunny","coastal","Winter"
"Rainy","mountain","Summer"
"Snowy","mountain","Winter"
"Rainy","mountain","Autumn"
"Sunny","coastal","Autumn"
"Snowy","inland","Spring"
"Rainy","mountain","Winter"
"Cloudy","mountain","Summer"
"Rainy","inland","Spring"
"Rainy","coastal","Autumn"
"Snowy","inland","Winter"
"Cloudy","coastal","Summer"
"Rainy","inland","Summer"
"Snowy","inland","Winter"
"Sunny","mountain","Spring"
"Rainy","mountain","Spring"
"Snowy","inland","Winter"
"Rainy","mountain","Autumn"
"Rainy","inland","Autumn"
"Cloudy","mountain","Winter"
"Cloudy","inland","Autumn"
"Cloudy","mountain","Summer"
"Rainy","coastal","Winter"
"Snowy","coastal","Winter"
"Cloudy","coastal","Winter"
"Rainy","inland","Winter"
"Rainy","mountain","Winter"
"Snowy","inland","Winter"
"Cloudy","mountain","Summer"
"Cloudy","inland","Autumn"
"Cloudy","inland","Autumn"
"Cloudy","coastal","Winter"
"Cloudy","inland","Autumn"
"Snowy","mountain","Winter"
"Cloudy","coastal","Winter"
"Snowy","mountain","Winter"
"Cloudy","mountain","Autumn"
"Sunny","coastal","Summer"
"Sunny","mountain","Winter"
"Snowy","coastal","Spring"
"Sunny","coastal","Autumn"
"Rainy","inland","Summer"
"Snowy","mountain","Winter"
"Snowy","inland","Winter"
"Cloudy","mountain","Autumn"
"Sunny","coastal","Autumn"
"Cloudy","inland","Autumn"
"Snowy","mountain","Winter"
"Snowy","inland","Winter"
"Cloudy","coastal","Winter"
"Sunny","coastal","Autumn"
"Rainy","inland","Spring"
"Rainy","coastal","Autumn"
"Sunny","mountain","Autumn"
"Cloudy","mountain","Spring"
"Rainy","coastal","Summer"
"Snowy","mountain","Winter"
"Snowy","inland","Winter"
"Sunny","inland","Summer"
"Cloudy","inland","Summer"
"Cloudy","coastal","Summer"
"Rainy","mountain","Spring"
"Rainy","mountain","Summer"
"Snowy","inland","Winter"
"Sunny","mountain","Summer"
"Snowy","inland","Winter"
"Cloudy","coastal","Autumn"
"Snowy","inland","Winter"
"Cloudy","inland","Autumn"
"Cloudy","coastal","Summer"
"Rainy","coastal","Autumn"
"Snowy","inland","Winter"
"Cloudy","mountain","Autumn"
"Snowy","inland","Winter"
"Snowy","mountain","Winter"
"Snowy","inland","Winter"
"Sunny","inland","Autumn"
"Cloudy","inland","Summer"
"Snowy","mountain","Winter"
"Cloudy","inland","Spring"
"Snowy","inland","Winter"
"Snowy","mountain","Winter"
"Rainy","mountain","Winter"
"Rainy","mountain","Autumn"
"Sunny","inland","Autumn"
"Cloudy","coastal","Winter"
"Cloudy","inland","Summer"
"Cloudy","mountain","Spring"
"Sunny","inland","Autumn"
"Cloudy","inland","Summer"
"Cloudy","mountain","Winter"
"Cloudy","mountain","Spring"
"Snowy","inland","Winter"
"Snowy","mountain","Winter"
"Cloudy","inland","Spring"
"Sunny","mountain","Summer"
"Cloudy","mountain","Spring"
"Cloudy","coastal","Summer"
"Snowy","mountain","Winter"
"Snowy","inland","Winter"
"Snowy","mountain","Winter"
"Cloudy","coastal","Winter"
"Sunny","mountain","Spring"
"Rainy","coastal","Spring"
"Sunny","mountain","Spring"
"Sunny","mountain","Autumn"
"Snowy","mountain","Winter"
"Rainy","inland","Winter"
"Snowy","inland","Winter"
"Rainy","coastal","Winter"
"Rainy","coastal","Spring"
"Cloudy","inland","Autumn"
"Snowy","mountain","Winter"
"Rainy","inland","Spring"
"Cloudy","inland","Autumn"
"Cloudy","inland","Spring"
"Cloudy","coastal","Autumn"
"Cloudy","inland","Autumn"
"Snowy","mountain","Winter"
"Snowy","inland","Winter"
"Snowy","inland","Winter"
"Sunny","coastal","Summer"
"Cloudy","coastal","Winter"
"Snowy","mountain","Winter"
"Sunny","coastal","Autumn"
"Rainy","inland","Spring"
"Sunny","mountain","Spring"
"Sunny","coastal","Winter"
"Sunny","mountain","Winter"
"Snowy","mountain","Winter"
"Snowy","inland","Winter"
"Snowy","mountain","Winter"
"Rainy","mountain","Summer"
"Snowy","mountain","Autumn"
"Sunny","inland","Summer"
"Rainy","coastal","Summer"
"Snowy","inland","Winter"
"Rainy","mountain","Summer"
"Sunny","inland","Spring"
"Snowy","inland","Winter"
"Cloudy","inland","Winter"
"Snowy","inland","Winter"
"Cloudy","coastal","Winter"
"Sunny","coastal","Spring"
"Sunny","mountain","Winter"
"Snowy","mountain","Winter"
"Cloudy","coastal","Winter"
"Cloudy","mountain","Winter"
"Rainy","inland","Summer"
"Cloudy","mountain","Winter"
"Cloudy","coastal","Summer"
"Cloudy","coastal","Winter"
"Snowy","inland","Winter"
"Sunny","coastal","Winter"
"Rainy","inland","Autumn"
"Snowy","mountain","Winter"
"Snowy","inland","Winter"
"Rainy","mountain","Autumn"
"Rainy","coastal","Spring"
"Snowy","inland","Winter"
"Cloudy","inland","Autumn"
"Sunny","mountain","Winter"
"Rainy","inland","Summer"
"Snowy","inland","Winter"
"Sunny","mountain","Winter"
"Sunny","inland","Spring"
"Sunny","mountain","Summer"
"Rainy","mountain","Spring"
"Cloudy","coastal","Spring"
"Snowy","mountain","Winter"
"Snowy","mountain","Winter"
"Rainy","coastal","Summer"
"Rainy","inland","Summer"
"Cloudy","coastal","Winter"
"Rainy","inland","Summer"
"Cloudy","coastal","Winter"
"Sunny","coastal","Autumn"
"Sunny","mountain","Spring"
"Cloudy","mountain","Autumn"
"Snowy","inland","Winter"
"Sunny","inland","Autumn"
"Rainy","coastal","Winter"
"Snowy","inland","Winter"
"Sunny","mountain","Autumn"
"Cloudy","coastal","Autumn"
"Sunny","coastal","Winter"
"Sunny","inland","Winter"
"Sunny","mountain","Summer"
"Snowy","inland","Winter"
"Cloudy","mountain","Spring"
"Cloudy","coastal","Winter"
"Cloudy","mountain","Winter"
"Cloudy","coastal","Autumn"
"Sunny","mountain","Spring"
"Snowy","mountain","Winter"
"Sunny","inland","Summer"
"Snowy","inland","Winter"
"Sunny","mountain","Autumn"
"Cloudy","coastal","Autumn"
"Cloudy","inland","Summer"
"Cloudy","mountain","Summer"
"Cloudy","coastal","Spring"
"Cloudy","inland","Autumn"
"Sunny","coastal","Autumn"
"Rainy","mountain","Summer"
"Rainy","coastal","Winter"
"Snowy","inland","Winter"
"Cloudy","coastal","Summer"
"Sunny","mountain","Summer"
"Sunny","mountain","Autumn"
"Rainy","coastal","Autumn"
"Sunny","mountain","Summer"
"Cloudy","inland","Summer"
"Snowy","inland","Winter"
"Sunny","inland","Autumn"
"Sunny","mountain","Spring"
"Sunny","coastal","Autumn"
"Snowy","mountain","Winter"
"Snowy","inland","Winter"
"Sunny","coastal","Spring"
"Cloudy","inland","Winter"
"Rainy","inland","Autumn"
"Cloudy","inland","Autumn"
"Rainy","mountain","Summer"
"Snowy","mountain","Winter"
"Cloudy","inland","Winter"
"Cloudy","mountain","Autumn"
"Snowy","mountain","Winter"
"Rainy","coastal","Summer"
"Cloudy","mountain","Winter"
"Cloudy","mountain","Spring"
"Snowy","inland","Winter"
"Rainy","coastal","Spring"
"Snowy","inland","Winter"
"Rainy","mountain","Summer"
"Cloudy","mountain","Summer"
"Cloudy","mountain","Autumn"
"Snowy","mountain","Winter"
"Sunny","inland","Winter"
"Sunny","mountain","Winter"
"Cloudy","inland","Summer"
"Snowy","inland","Winter"
"Snowy","inland","Winter"
"Sunny","mountain","Winter"
"Sunny","coastal","Spring"
"Rainy","inland","Autumn"
"Sunny","inland","Summer"
"Rainy","mountain","Autumn"
"Snowy","inland","Winter"
"Rainy","inland","Spring"
"Cloudy","mountain","Summer"
"Snowy","inland","Winter"
"Sunny","mountain","Winter"
"Snowy","mountain","Winter"
"Snowy","mountain","Winter"
"Cloudy","inland","Spring"
"Sunny","coastal","Autumn"
"Cloudy","inland","Summer"
"Rainy","coastal","Winter"
"Rainy","inland","Winter"
"Sunny","mountain","Summer"
"Snowy","inland","Winter"
"Cloudy","mountain","Winter"
"Snowy","inland","Winter"
"Snowy","mountain","Summer"
"Rainy","coastal","Spring"
"Rainy","mountain","Autumn"
"Rainy","mountain","Summer"
"Snowy","mountain","Winter"
"Sunny","mountain","Summer"
"Snowy","mountain","Winter"
"Snowy","inland","Winter"
"Snowy","mountain","Winter"
"Rainy","coastal","Autumn"
"Sunny","mountain","Summer"
"Rainy","inland","Spring"
"Sunny","coastal","Spring"
"Snowy","mountain","Winter"
"Snowy","mountain","Winter"
"Cloudy","inland","Summer"
"Rainy","coastal","Autumn"
"Snowy","inland","Winter"
"Snowy","mountain","Winter"
"Rainy","inland","Summer"
"Sunny","inland","Summer"
"Sunny","coastal","Autumn"
"Snowy","mountain","Winter"
"Rainy","coastal","Autumn"
"Rainy","coastal","Winter"
"Snowy","mountain","Winter"
"Cloudy","mountain","Autumn"
"Snowy","mountain","Winter"
"Snowy","inland","Spring"
"Cloudy","inland","Spring"
"Snowy","inland","Winter"
"Snowy","mountain","Winter"
"Sunny","coastal","Autumn"
"Cloudy","coastal","Winter"
"Cloudy","inland","Autumn"
"Snowy","mountain","Winter"
"Sunny","inland","Spring"
"Snowy","inland","Winter"
"Sunny","inland","Autumn"
"Cloudy","coastal","Winter"
"Rainy","mountain","Autumn"
"Rainy","mountain","Autumn"
"Rainy","coastal","Spring"
"Cloudy","mountain","Winter"
"Rainy","inland","Spring"
"Cloudy","inland","Winter"
"Cloudy","inland","Winter"
"Cloudy","mountain","Autumn"
"Sunny","coastal","Winter"
"Cloudy","mountain","Autumn"
"Snowy","mountain","Winter"
"Snowy","inland","Winter"
"Sunny","coastal","Spring"
"Snowy","inland","Winter"
"Cloudy","inland","Winter"
"Snowy","mountain","Winter"
"Rainy","inland","Autumn"
"Rainy","inland","Summer"
"Sunny","mountain","Autumn"
"Rainy","mountain","Summer"
"Rainy","coastal","Spring"
"Snowy","inland","Winter"
"Sunny","inland","Summer"
"Rainy","inland","Winter"
"Snowy","inland","Winter"
"Cloudy","mountain","Summer"
"Rainy","mountain","Winter"
"Rainy","coastal","Autumn"
"Sunny","mountain","Summer"
"Cloudy","coastal","Autumn"
"Cloudy","coastal","Spring"
"Cloudy","coastal","Spring"
"Snowy","inland","Winter"
"Rainy","mountain","Winter"
"Snowy","mountain","Winter"
"Snowy","mountain","Winter"
"Snowy","inland","Winter"
"Rainy","mountain","Summer"
"Rainy","mountain","Autumn"
"Sunny","inland","Winter"
"Rainy","mountain","Spring"
"Rainy","mountain","Autumn"
"Sunny","inland","Spring"
"Sunny","mountain","Spring"
"Cloudy","coastal","Spring"
"Rainy","coastal","Spring"
"Rainy","inland","Autumn"
"Cloudy","inland","Autumn"
"Rainy","coastal","Autumn"
"Rainy","mountain","Summer"
"Snowy","mountain","Winter"
"Rainy","coastal","Summer"
"Snowy","inland","Winter"
"Rainy","coastal","Winter"
"Snowy","mountain","Winter"
"Sunny","mountain","Spring"
"Rainy","inland","Autumn"
"Sunny","coastal","Autumn"
"Sunny","mountain","Autumn"
"Rainy","inland","Summer"
"Sunny","coastal","Summer"
"Rainy","mountain","Spring"
"Rainy","inland","Summer"
"Rainy","coastal","Winter"
"Snowy","mountain","Winter"
"Snowy","mountain","Winter"
"Sunny","coastal","Autumn"
"Snowy","inland","Winter"
"Sunny","inland","Spring"
"Cloudy","coastal","Summer"
"Sunny","inland","Spring"
"Rainy","coastal","Spring"
"Cloudy","mountain","Autumn"
"Cloudy","inland","Spring"
"Snowy","mountain","Winter"
"Cloudy","mountain","Spring"
"Cloudy","inland","Summer"
"Cloudy","coastal","Summer"
"Sunny","coastal","Autumn"
"Sunny","mountain","Spring"
"Cloudy","mountain","Summer"
"Sunny","coastal","Autumn"
"Snowy","inland","Winter"
"Cloudy","mountain","Spring"
"Sunny","inland","Spring"
"Snowy","mountain","Winter"
"Rainy","mountain","Autumn"
"Rainy","coastal","Spring"
"Cloudy","inland","Summer"
"Cloudy","inland","Autumn"
"Cloudy","coastal","Spring"
"Snowy","inland","Winter"
"Cloudy","coastal","Spring"
"Snowy","mountain","Winter"
"Sunny","mountain","Winter"
"Snowy","inland","Winter"
"Sunny","inland","Autumn"
"Snowy","inland","Winter"
"Cloudy","coastal","Spring"
"Rainy","mountain","Autumn"
"Rainy","coastal","Summer"
"Rainy","inland","Spring"
"Sunny","coastal","Winter"
"Snowy","mountain","Winter"
"Sunny","coastal","Autumn"
"Sunny","mountain","Summer"
"Rainy","inland","Summer"
"Snowy","inland","Winter"
"Snowy","mountain","Winter"
"Snowy","inland","Winter"
"Snowy","mountain","Winter"
"Rainy","coastal","Winter"
"Sunny","inland","Winter"
"Rainy","coastal","Winter"
"Sunny","inland","Winter"
"Sunny","inland","Winter"
"Snowy","mountain","Winter"
"Rainy","inland","Winter"
"Sunny","inland","Winter"
"Snowy","mountain","Winter"
"Cloudy","coastal","Spring"
"Rainy","coastal","Autumn"
"Sunny","coastal","Winter"
"Snowy","inland","Winter"
"Sunny","mountain","Autumn"
"Snowy","inland","Winter"
"Rainy","mountain","Summer"
"Sunny","mountain","Summer"
"Snowy","mountain","Winter"
"Sunny","coastal","Spring"
"Sunny","mountain","Autumn"
"Sunny","mountain","Winter"
"Rainy","coastal","Spring"
"Rainy","inland","Autumn"
"Sunny","coastal","Spring"
"Cloudy","inland","Spring"
"Sunny","mountain","Winter"
"Sunny","coastal","Summer"
"Sunny","mountain","Winter"
"Sunny","mountain","Spring"
"Snowy","inland","Winter"
"Snowy","inland","Winter"
"Snowy","inland","Winter"
"Cloudy","inland","Summer"
"Cloudy","mountain","Summer"
"Sunny","inland","Spring"
"Snowy","inland","Winter"
"Snowy","inland","Winter"
"Rainy","coastal","Autumn"
"Sunny","mountain","Spring"
"Snowy","inland","Winter"
"Snowy","mountain","Winter"
"Cloudy","mountain","Winter"
"Rainy","coastal","Autumn"
"Rainy","mountain","Spring"
"Cloudy","inland","Spring"
"Sunny","coastal","Spring"
"Snowy","mountain","Winter"
"Sunny","inland","Summer"
"Cloudy","inland","Summer"
"Rainy","inland","Autumn"
"Snowy","inland","Winter"
"Sunny","coastal","Winter"
"Rainy","inland","Autumn"
"Cloudy","inland","Autumn"
"Sunny","coastal","Summer"
"Rainy","coastal","Spring"
"Rainy","coastal","Autumn"
"Snowy","inland","Winter"
"Sunny","inland","Spring"
"Rainy","coastal","Winter"
"Cloudy","mountain","Summer"
"Sunny","coastal","Spring"
"Sunny","mountain","Summer"
"Cloudy","coastal","Winter"
"Sunny","inland","Autumn"
"Cloudy","coastal","Autumn"
"Snowy","inland","Winter"
"Cloudy","mountain","Spring"
"Rainy","mountain","Autumn"
"Rainy","inland","Autumn"
"Rainy","inland","Autumn"
"Snowy","mountain","Winter"
"Sunny","coastal","Spring"
"Sunny","coastal","Spring"
"Cloudy","inland","Spring"
"Sunny","coastal","Summer"
"Rainy","coastal","Summer"
"Cloudy","coastal","Spring"
"Sunny","coastal","Winter"
"Snowy","mountain","Winter"
"Cloudy","mountain","Winter"
"Snowy","inland","Winter"
"Cloudy","coastal","Autumn"
"Snowy","inland","Winter"
"Rainy","mountain","Spring"
"Cloudy","inland","Spring"
"Sunny","coastal","Winter"
"Snowy","mountain","Winter"
"Sunny","inland","Winter"
"Sunny","inland","Summer"
"Sunny","inland","Summer"
"Cloudy","mountain","Winter"
"Snowy","mountain","Winter"
"Sunny","inland","Winter"
"Sunny","inland","Summer"
"Cloudy","coastal","Autumn"
"Snowy","mountain","Winter"
